COUNTRY.Name,INDICATOR.Name,FREQUENCY.Name,SCALE.Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Afghanistan, Islamic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-1.378,0.127,-0.673,1.634,-1.058,-2.243,-0.485,-0.997,-1.358,
"Afghanistan, Islamic Republic of","Primary net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-16.27,2.35,-7.767,22.486,-14.971,-34.131,-5.786,-12.692,-16.132,
"Afghanistan, Islamic Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-1.326,0.192,-0.604,1.694,-1.019,-2.206,-0.462,-0.989,-1.189,
"Afghanistan, Islamic Republic of","Gross debt, General government, Domestic currency",Annual,Billions,112.281,103.181,102.807,98.042,93.317,120.646,,,,
"Afghanistan, Islamic Republic of","Gross debt, General government, Percent of GDP",Annual,Units,9.154,8.437,7.998,7.384,6.35,7.797,,,,
"Afghanistan, Islamic Republic of","Expenditure, General government, Percent of GDP",Annual,Units,25.947,28.029,27.732,28.936,27.999,27.937,17.934,16.116,16.887,
"Afghanistan, Islamic Republic of","Population, Number",Annual,Millions,33.753,34.636,35.643,36.687,37.769,38.972,40.099,41.142,42.171,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,1226.57,1222.917,1285.46,1327.69,1469.596,1547.289,1251.172,1283.442,1357.275,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, US Dollar",Annual,Billions,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.329,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US Dollar",Annual,Units,594.213,520.267,529.773,499.799,499.762,516.664,356.063,352.456,410.933,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,36339.041,35307.471,36064.452,36189.882,38909.606,39702.347,31201.711,31195.375,32185.342,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,35463.357,35307.471,35217.934,34623.252,34946.23,33071.48,27467.825,25101.133,25152.776,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number",Annual,Units,2761.468,2749.329,2742.357,2696.05,2721.2,2575.216,2138.87,1954.58,1958.601,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Deflator, Index",Annual,Units,102.469,100,102.404,104.525,111.341,120.05,113.594,124.279,127.959,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Annual,Billions,1226.57,1222.917,1285.46,1327.69,1469.596,1547.289,1251.172,1283.442,1357.275,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Domestic currency",Annual,Billions,1197.012,1222.917,1255.288,1270.216,1319.902,1288.869,1101.445,1032.712,1060.708,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,0.988,2.164,2.647,1.189,3.912,-2.351,-14.542,-6.24,2.711,
"Afghanistan, Islamic Republic of","Gross national savings, Percent of GDP",Annual,Units,22.176,28.312,26.058,30.191,29.897,30.985,10.575,-12.05,-14.529,
"Afghanistan, Islamic Republic of","Gross capital formation, Percent of GDP",Annual,Units,18.467,19.283,18.481,18.047,18.192,17.011,10.938,7.947,9.686,
"Afghanistan, Islamic Republic of","All items, Consumer price index (CPI), Period average",Annual,Units,101.296,105.736,110.998,111.693,114.264,120.671,130.038,143.822,132.728,
"Afghanistan, Islamic Republic of","All items, Consumer price index (CPI), End-of-period (EoP)",Annual,Units,104.218,109,112.315,113.162,116.3,122.1,140.833,143.56,130.603,
"Afghanistan, Islamic Republic of","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)",Annual,Units,1.131,4.588,3.041,0.755,2.773,4.987,15.342,1.936,-9.025,
"Afghanistan, Islamic Republic of","All items, Consumer price index (CPI), Percent change, period average",Annual,Units,-0.662,4.384,4.976,0.626,2.302,5.607,7.762,10.6,-7.714,
"Afghanistan, Islamic Republic of","Domestic currency per international dollar in PPP terms, Domestic currency",Annual,Units,15.856,15.328,15.42,14.856,15.026,15.335,14.588,14.898,14.806,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Annual,Billions,77.358,79.784,83.362,89.369,97.801,100.898,85.768,86.149,91.668,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar",Annual,Units,2291.864,2303.472,2338.779,2436.006,2589.41,2588.961,2138.87,2093.93,2173.745,
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP",Annual,Units,0.069,0.068,0.067,0.068,0.07,0.073,0.055,0.05,0.05,
"Afghanistan, Islamic Republic of","Imports of goods, Volume, Percent change",Annual,Units,24.734,-8.264,1.927,-7.886,-5.739,-2.51,,,,
"Afghanistan, Islamic Republic of","Imports of goods and services, Volume, Percent change",Annual,Units,16.629,-8.394,3.812,-4.973,-7.026,-3.901,,,,
"Afghanistan, Islamic Republic of","Exports of goods, Volume, Percent change",Annual,Units,15.431,12.188,17.858,2.3,2.14,-16.606,,,,
"Afghanistan, Islamic Republic of","Exports of goods and services, Volume, Percent change",Annual,Units,-10.234,-16.004,-6.119,27.753,-2.916,0.534,,,,
Angola,"Current account balance, US Dollar",Annual,Billions,-10.273,-3.085,-0.633,7.403,5.137,0.872,8.399,11.763,4.185,3.792
Angola,"Current account balance, Percent of GDP",Annual,Units,-7.802,-2.688,-0.453,6.483,5.427,1.311,9.955,8.287,3.816,3.347
Angola,"Revenue, General government, Domestic currency",Annual,Billions,3366.744,2899.97,3546.27,5859.955,6530.16,7052.762,11017.316,13182.996,13052.808,17911.893
Angola,"Revenue, General government, Percent of GDP",Annual,Units,21.299,15.44,15.285,20.295,18.907,18.335,20.679,20.095,17.367,18.014
Angola,"Structural balance, General government, Domestic currency",Annual,Billions,-557.33,-833.633,-1439.649,418.854,191.469,-4.977,1715.805,111.327,-1242.886,824.598
Angola,"Structural balance, General government, Percent",Annual,Units,-3.764,-4.633,-6.481,1.512,0.552,-0.011,3.159,0.165,-1.5,0.817
Angola,"Expenditure, General government, Domestic currency",Annual,Billions,3773.708,3648.044,4879.693,5273.865,6290.944,7690.86,9206.658,12799.593,14462.656,16347.456
Angola,"Net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-406.964,-748.074,-1333.423,586.09,239.217,-638.098,1810.659,383.403,-1409.848,1564.437
Angola,"Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-2.575,-3.983,-5.747,2.03,0.693,-1.659,3.399,0.584,-1.876,1.573
Angola,"Primary net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-158.494,-277.674,-599.942,1799.999,1959.871,1661.672,4255.153,2660.576,2669.123,6132.928
Angola,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-1.003,-1.478,-2.586,6.234,5.674,4.32,7.987,4.055,3.551,6.168
Angola,"Gross debt, General government, Domestic currency",Annual,Billions,7964.646,12521.838,14034.657,23832.49,35012.669,45830.653,39581.363,36809.37,55379.97,58945.851
Angola,"Gross debt, General government, Percent of GDP",Annual,Units,50.386,66.67,60.492,82.541,101.373,119.145,74.292,56.108,73.682,59.283
Angola,"Expenditure, General government, Percent of GDP",Annual,Units,23.873,19.423,21.032,18.265,18.214,19.994,17.28,19.51,19.242,16.441
Angola,"Population, Number",Annual,Millions,28.128,29.155,30.209,31.274,32.354,33.428,34.504,35.711,36.961,38.255
Angola,"Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,15807.317,18781.816,23200.799,28873.391,34538.508,38466.148,53277.982,65604.308,75160.641,99430.631
Angola,"Gross domestic product (GDP), Current prices, US Dollar",Annual,Billions,131.661,114.764,139.835,114.189,94.671,66.521,84.375,141.941,109.678,113.286
Angola,"Gross domestic product (GDP), Current prices, Per capita, US Dollar",Annual,Units,4680.829,3936.361,4628.964,3651.304,2926.143,1989.939,2445.388,3974.666,2967.384,2961.34
Angola,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,561983.568,644211.272,768018.958,923253.251,1067532.541,1150699.676,1544120.42,1837068.746,2033495.311,2599157.182
Angola,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,561983.568,532969.576,513655.853,493237.82,475818.591,441913.622,437132.642,440173.565,429584.25,425070.834
Angola,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number",Annual,Units,11402.929,10814.221,10422.336,10008.044,9654.599,8966.65,8869.641,8931.343,8716.481,8624.901
Angola,"Gross domestic product (GDP), Deflator, Index",Annual,Units,100,120.872,149.52,187.182,224.357,260.39,353.238,417.351,473.364,611.464
Angola,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Annual,Billions,15807.317,18781.816,23200.799,28873.391,34538.508,38466.148,53277.982,65604.308,75160.641,99430.631
Angola,"Gross domestic product (GDP), Constant prices, Domestic currency",Annual,Billions,15807.317,15538.593,15516.839,15425.289,15394.439,14772.503,15082.726,15719.217,15877.995,16261.064
Angola,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,0.76,-1.7,-0.14,-0.59,-0.2,-4.04,2.1,4.22,1.01,2.413
Angola,"Gross national savings, Percent of GDP",Annual,Units,26.827,25.528,32.316,37.283,36.278,37.189,46.056,41.893,37.843,36.032
Angola,"Gross capital formation, Percent of GDP",Annual,Units,34.63,28.216,32.769,30.8,30.851,35.878,36.101,33.606,34.028,32.684
Angola,"All items, Consumer price index (CPI), Period average",Annual,Units,148.377,193.92,251.795,301.218,352.664,431.227,542.334,658.179,747.946,960.258
Angola,"All items, Consumer price index (CPI), End-of-period (EoP)",Annual,Units,157.587,222.395,275.028,326.194,381.299,477.015,606.027,689.949,827.919,1059.827
Angola,"All items, Consumer price index (CPI), Percent change, end-of-period (EoP)",Annual,Units,12.091,41.125,23.667,18.604,16.893,25.103,27.046,13.848,19.997,28.011
Angola,"All items, Consumer price index (CPI), Percent change, period average",Annual,Units,9.159,30.694,29.844,19.629,17.079,22.277,25.765,21.36,13.639,28.386
Angola,"Domestic currency per international dollar in PPP terms, Domestic currency",Annual,Units,65.864,78.862,95.837,111.442,124.44,146.909,174.091,191.999,210.203,265.193
Angola,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Annual,Billions,239.998,238.16,242.085,259.089,277.552,261.836,306.036,341.69,357.562,374.937
Angola,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar",Annual,Units,8532.432,8168.812,8013.784,8284.622,8578.72,7832.731,8869.641,9568.094,9673.949,9801.001
Angola,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP",Annual,Units,0.213,0.203,0.196,0.197,0.199,0.188,0.197,0.198,0.194,0.193
Angola,"Imports of goods, Volume, Percent change",Annual,Units,-17.807,-35.021,6.402,5.81,-7.906,-33.048,7.298,37.455,-9.38,3.415
Angola,"Imports of goods and services, Volume, Percent change",Annual,Units,-19.489,-30.326,5.655,-11.251,-11.289,-32.683,8.02,42.314,-13.978,3.415
Angola,"Exports of goods, Volume, Percent change",Annual,Units,5.75,-0.816,-1.509,-9.585,-5.705,-6.428,-8.521,3.388,-5.015,0.468
Angola,"Exports of goods and services, Volume, Percent change",Annual,Units,6.721,-1.971,-1.252,-10.725,-5.927,-7.342,-8.558,3.271,-4.976,0.448
Albania,"Current account balance, US Dollar",Annual,Billions,-0.981,-0.898,-0.978,-1.024,-1.166,-1.315,-1.38,-1.121,-0.285,-0.206
Albania,"Current account balance, Percent of GDP",Annual,Units,-8.609,-7.572,-7.492,-6.754,-7.571,-8.659,-7.676,-5.874,-1.247,-0.789
Albania,"Revenue, General government, Domestic currency",Annual,Billions,379.231,407.021,430.397,449.389,460.349,425.906,510.951,572.79,643.406,700.107
Albania,"Revenue, General government, Percent of GDP",Annual,Units,26.44,27.642,27.756,27.457,27.209,25.853,27.527,26.787,27.822,28.625
Albania,"Expenditure, General government, Domestic currency",Annual,Billions,441.161,429.073,452.193,475.91,491.928,536.28,596.279,651.015,674.677,753.779
Albania,"Net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-61.931,-22.052,-21.795,-26.521,-31.579,-110.374,-85.328,-78.226,-31.271,-53.672
Albania,"Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-4.318,-1.498,-1.406,-1.62,-1.866,-6.7,-4.597,-3.658,-1.352,-2.194
Albania,"Primary net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-23.288,14.207,10.109,9.993,3.564,-75.98,-49.507,-38.602,16.32,7.946
Albania,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-1.624,0.965,0.652,0.611,0.211,-4.612,-2.667,-1.805,0.706,0.325
Albania,"Gross debt, General government, Domestic currency",Annual,Billions,1057.318,1079.687,1114.833,1137.07,1139.796,1248.296,1396.171,1401.586,1383.19,1425.781
Albania,"Gross debt, General government, Percent of GDP",Annual,Units,73.716,73.324,71.895,69.472,67.368,75.772,75.218,65.546,59.811,58.295
Albania,"Net debt, General government, Domestic currency",Annual,Billions,986.827,1028.471,1015.754,1006.271,1023.533,1148.99,1231.318,1264.182,1208.691,1243.121
Albania,"Net debt, General government, Percent of GDP",Annual,Units,68.802,69.846,65.505,61.481,60.496,69.744,66.336,59.12,52.266,50.827
Albania,"Expenditure, General government, Percent of GDP",Annual,Units,30.758,29.139,29.162,29.077,29.075,32.552,32.124,30.445,29.174,30.819
Albania,"Population, Number",Annual,Millions,2.881,2.876,2.873,2.866,2.854,2.838,2.812,2.778,2.75,2.722
Albania,Unemployment rate,Annual,Units,17.1,15.2,13.7,12.3,11.47,11.675,11.5,10.9,10.7,10.7
Albania,"Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,1434.307,1472.479,1550.645,1636.73,1691.903,1647.431,1856.172,2138.339,2312.591,2445.801
Albania,"Gross domestic product (GDP), Current prices, US Dollar",Annual,Billions,11.389,11.862,13.053,15.157,15.399,15.192,17.984,19.083,22.822,26.13
Albania,"Gross domestic product (GDP), Current prices, Per capita, US Dollar",Annual,Units,3953.611,4124.405,4542.76,5287.721,5395.101,5353.303,6396.166,6870.21,8299.278,9598.191
Albania,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,497901.557,511970.591,539644.574,571010.087,592778.633,580521.046,660168.068,769826.712,840969.044,898394.392
Albania,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,255374.206,264262.008,274562.175,286303.313,293528.293,285470.24,313796.635,333060.605,348035.024,362978.063
Albania,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number",Annual,Units,13234.84,13695.453,14229.262,14837.75,15212.186,14794.576,16262.599,17260.96,18037.013,18811.44
Albania,"Gross domestic product (GDP), Deflator, Index",Annual,Units,194.969,193.736,196.547,199.442,201.949,203.356,210.381,231.137,241.633,247.507
Albania,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Annual,Billions,1434.307,1472.479,1550.645,1636.73,1691.903,1647.431,1856.172,2138.339,2312.591,2445.801
Albania,"Gross domestic product (GDP), Constant prices, Domestic currency",Annual,Billions,735.657,760.044,788.943,820.653,837.786,810.121,882.291,925.139,957.066,988.176
Albania,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2.219,3.315,3.802,4.019,2.088,-3.302,8.909,4.856,3.451,3.251
Albania,"Gross national savings, Percent of GDP",Annual,Units,15.804,16.796,17.085,17.109,14.742,13.991,16.661,17.989,23.132,24
Albania,"Gross capital formation, Percent of GDP",Annual,Units,26.237,25.47,24.672,24.118,23.032,22.677,25.469,24.874,19.444,21.216
Albania,"All items, Consumer price index (CPI), Period average",Annual,Units,100,101.287,103.297,105.393,106.88,108.613,110.831,118.286,123.927,126.706
Albania,"All items, Consumer price index (CPI), End-of-period (EoP)",Annual,Units,100,102.165,104.011,105.882,107.1,108.225,112.229,120.563,125.325,127.898
Albania,"All items, Consumer price index (CPI), Percent change, end-of-period (EoP)",Annual,Units,1.937,2.165,1.808,1.799,1.15,1.051,3.7,7.425,3.95,2.053
Albania,"All items, Consumer price index (CPI), Percent change, period average",Annual,Units,1.868,1.287,1.985,2.029,1.411,1.621,2.043,6.726,4.769,2.242
Albania,"Domestic currency per international dollar in PPP terms, Domestic currency",Annual,Units,43.072,42.397,42.255,42.303,40.55,40.21,40.594,41.631,42.01,42.027
Albania,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Annual,Billions,33.3,34.731,36.697,38.691,41.723,40.97,45.725,51.364,55.049,58.196
Albania,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar",Annual,Units,11559.657,12075.634,12770.998,13498.153,14618.304,14437.1,16262.599,18491.562,20018.303,21376.586
Albania,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP",Annual,Units,0.03,0.03,0.03,0.029,0.03,0.029,0.029,0.03,0.03,0.03
Albania,"Imports of goods, Volume, Percent change",Annual,Units,2.159,9.381,4.39,4.234,3.459,-5.092,18.143,4.052,2.486,11.985
Albania,"Imports of goods and services, Volume, Percent change",Annual,Units,0.07,8.264,6.032,5.766,4.719,-19.547,23.655,11.68,10.617,11.55
Albania,"Exports of goods, Volume, Percent change",Annual,Units,6.572,-0.129,-1.377,14.145,-8.415,-1.946,18.816,20.158,2.821,-1.077
Albania,"Exports of goods and services, Volume, Percent change",Annual,Units,5.908,10.388,10.113,3.523,1.651,-27.441,41.449,28.29,23.775,7.771
"Andorra, Principality of","Current account balance, US Dollar",Annual,Billions,,,,,0.568,0.448,0.468,0.582,0.634,0.674
"Andorra, Principality of","Current account balance, Percent of GDP",Annual,Units,,,,,18.01,15.526,14.06,17.251,17.018,17.161
"Andorra, Principality of","Revenue, General government, Domestic currency",Annual,Billions,0.88,1.011,1.014,1.052,1.075,1.045,1.065,1.276,1.331,1.396
"Andorra, Principality of","Revenue, General government, Percent of GDP",Annual,Units,34.982,38.636,38.19,38.601,38.15,41.271,37.877,39.733,38.616,38.406
"Andorra, Principality of","Expenditure, General government, Domestic currency",Annual,Billions,0.838,0.905,0.926,0.979,1.01,1.071,1.097,1.12,1.252,1.334
"Andorra, Principality of","Net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,0.042,0.106,0.089,0.073,0.065,-0.027,-0.033,0.155,0.079,0.062
"Andorra, Principality of","Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,1.654,4.068,3.338,2.671,2.306,-1.057,-1.163,4.844,2.3,1.704
"Andorra, Principality of","Gross debt, General government, Domestic currency",Annual,Billions,1.03,1.041,1.005,0.99,0.997,1.173,1.367,1.249,1.255,1.255
"Andorra, Principality of","Gross debt, General government, Percent of GDP",Annual,Units,40.955,39.773,37.854,36.344,35.365,46.353,48.614,38.915,36.399,34.516
"Andorra, Principality of","Expenditure, General government, Percent of GDP",Annual,Units,33.329,34.568,34.852,35.93,35.844,42.328,39.04,34.89,36.316,36.702
"Andorra, Principality of","Employed persons, Number",Annual,Millions,0.041,0.042,0.043,0.045,0.045,0.045,0.047,0.049,0.052,0.052
"Andorra, Principality of","Population, Number",Annual,Millions,0.072,0.073,0.075,0.076,0.078,0.078,0.08,0.082,0.085,0.087
"Andorra, Principality of",Unemployment rate,Annual,Units,3.875,3.3,2.35,1.775,2.075,2.925,3.275,2.1,1.55,1.55
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,2.515,2.617,2.656,2.725,2.818,2.531,2.811,3.21,3.448,3.636
"Andorra, Principality of","Gross domestic product (GDP), Current prices, US Dollar",Annual,Billions,2.789,2.895,2.993,3.217,3.155,2.885,3.325,3.376,3.728,3.93
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, US Dollar",Annual,Units,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41806.876,41378.881,43809.726,45278.52
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,35054.23,35795.91,35507.661,35775.497,36346.543,32443.633,35342.554,39347.821,40511.275,41891.424
"Andorra, Principality of","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,34569.369,35178.442,34503.035,34414.85,34490.025,30447.35,32340.353,34541.967,33594.435,33402.694
